,ShadingDade_Temperature_Daily_Max (C),ShadingDade_Temperature_Daily_Max (F),ShadingDade_Temperature_Daily_Min (C),ShadingDade_Temperature_Daily_Min (F),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Max (C),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Max (F),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Min (C),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Min (F),Daily_Temperature_Max_Difference (C),Daily_Temperature_Max_Difference (F),Daily_Temperature_Min_Difference (C),Daily_Temperature_Min_Difference (F),ERA5_Temperature_Daily_Max (C),ERA5_Temperature_Daily_Max (F),ERA5_Temperature_Daily_Max_Datetime,ERA5_Temperature_Daily_Min (C),ERA5_Temperature_Daily_Min (F),ERA5_Temperature_Daily_Min_Datetime,Absolute_time_difference_tmax_ERA5_ShadingDade (day H:M:S),Absolute_time_difference_tmin_ERA5_ShadingDade (day H:M:S)
0,33.75,92.75,25.125,77.225,26.792572,80.22662963867188,27.670563,81.80701293945313,6.957427978515625,12.52337036132812,-2.545562744140625,-4.582012939453136,28.871124267578125,83.96802368164063,2019-06-09 16:00:00,26.113494873046875,79.00429077148438,2019-06-09 11:00:00,0 days 04:00:00,0 days 10:00:00
1,38.5,101.3,23.25,73.85,26.69992,80.05985717773439,26.314667,79.36640014648438,11.800079345703125,21.24014282226561,-3.064666748046875,-5.516400146484386,29.251983642578125,84.65357055664063,2019-06-10 19:00:00,25.005401611328125,77.00972290039063,2019-06-10 09:00:00,0 days 03:00:00,0 days 02:00:00
2,40.75,105.35,24.25,75.65,27.05783,80.70409545898437,26.604706,79.88847045898439,13.692169189453125,24.645904541015625,-2.354705810546875,-4.238470458984381,30.506561279296875,86.91181030273438,2019-06-11 18:00:00,25.968292236328125,78.74292602539063,2019-06-11 09:00:00,0 days 06:00:00,0 days 06:00:00
3,40.25,104.45,24.875,76.775,26.922882,80.46118774414063,26.931915,80.47744750976562,13.327117919921875,23.988812255859372,-2.056915283203125,-3.7024475097656193,30.096771240234375,86.17418823242187,2019-06-12 18:00:00,26.637908935546875,79.94823608398437,2019-06-12 08:00:00,0 days 07:00:01,0 days 04:00:00
4,41.0,105.8,25.125,77.225,27.729523,81.91314086914062,28.046173,82.48311157226563,13.270477294921875,23.886859130859378,-2.921173095703125,-5.2581115722656335,30.055999755859375,86.10079956054688,2019-06-13 19:00:00,26.52044677734375,79.73680419921875,2019-06-13 10:00:00,0 days 07:00:00,0 days 12:59:59
5,37.75,99.95,23.25,73.85,25.311981,77.56156616210939,28.188385,82.73909301757813,12.438018798828125,22.388433837890616,-4.938385009765625,-8.889093017578134,28.479156494140625,83.26248168945312,2019-06-14 18:00:00,25.2841796875,77.5115234375,2019-06-14 09:00:00,0 days 07:00:01,0 days 07:59:59
6,36.75,98.15,25.0,77.0,26.35437,79.4378662109375,26.517365,79.73125610351562,10.3956298828125,18.712133789062506,-1.517364501953125,-2.7312561035156193,27.916839599609375,82.25031127929688,2019-06-15 15:00:00,26.069488525390625,78.92507934570312,2019-06-15 02:00:00,0 days 04:00:01,0 days 02:00:00
7,27.5,81.5,22.375,72.275,26.655762,79.98037109375,26.892242,80.40603637695312,0.84423828125,1.5196289062500057,-4.517242431640625,-8.13103637695312,27.161834716796875,80.89130249023438,2019-06-16 05:00:00,25.249053955078125,77.44829711914062,2019-06-16 14:00:00,0 days 04:00:00,0 days 06:00:01
8,28.875,83.975,23.0,73.4,25.73526,78.32346801757814,25.182709,77.32887573242188,3.139739990234375,5.651531982421858,-2.182708740234375,-3.928875732421872,27.005157470703125,80.60928344726562,2019-06-17 05:00:00,25.182708740234375,77.32887573242188,2019-06-17 09:00:00,0 days 10:00:00,0 days 00:00:00
9,39.0,102.2,22.875,73.17500000000001,27.397827,81.3160888671875,26.600555,79.88099975585938,11.6021728515625,20.8839111328125,-3.725555419921875,-6.7059997558593665,29.516815185546875,85.13026733398438,2019-06-18 19:00:00,25.2728271484375,77.4910888671875,2019-06-18 10:00:00,0 days 06:00:00,0 days 08:00:01
